"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 02:29:14 UTC 2023","Wed Oct 25 02:29:18 UTC 2023","4196","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Oct 25 02:19:55 UTC 2023","Wed Oct 25 02:19:55 UTC 2023","34","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed Oct 25 02:51:07 UTC 2023","Wed Oct 25 02:51:13 UTC 2023","5121","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Oct 25 03:35:59 UTC 2023","Wed Oct 25 03:36:31 UTC 2023","32493","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed Oct 25 02:54:11 UTC 2023","Wed Oct 25 02:54:31 UTC 2023","19402","","6. Company Account","","","","1. Validate login credentials",""
"passed","Wed Oct 25 04:02:22 UTC 2023","Wed Oct 25 04:02:25 UTC 2023","3261","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Wed Oct 25 03:54:38 UTC 2023","Wed Oct 25 03:55:18 UTC 2023","39953","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Wed Oct 25 04:02:28 UTC 2023","Wed Oct 25 04:02:31 UTC 2023","2798","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Oct 25 04:02:15 UTC 2023","Wed Oct 25 04:02:19 UTC 2023","3979","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Oct 25 02:23:03 UTC 2023","Wed Oct 25 02:23:08 UTC 2023","4787","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Wed Oct 25 02:36:58 UTC 2023","Wed Oct 25 02:37:01 UTC 2023","2296","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Oct 25 02:28:45 UTC 2023","Wed Oct 25 02:29:03 UTC 2023","18496","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Oct 25 02:39:48 UTC 2023","Wed Oct 25 02:40:10 UTC 2023","22592","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Oct 25 04:46:55 UTC 2023","Wed Oct 25 04:47:05 UTC 2023","10738","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Wed Oct 25 02:56:08 UTC 2023","Wed Oct 25 02:56:08 UTC 2023","594","","6. Company Account","","","","9. Review Final Review",""
"passed","Wed Oct 25 04:05:07 UTC 2023","Wed Oct 25 04:05:22 UTC 2023","14773","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Oct 25 02:44:57 UTC 2023","Wed Oct 25 02:44:59 UTC 2023","2520","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Wed Oct 25 02:19:32 UTC 2023","Wed Oct 25 02:19:55 UTC 2023","22969","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Oct 25 03:55:18 UTC 2023","Wed Oct 25 03:55:21 UTC 2023","2865","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed Oct 25 02:36:43 UTC 2023","Wed Oct 25 02:36:45 UTC 2023","2037","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Oct 25 04:16:20 UTC 2023","Wed Oct 25 04:16:23 UTC 2023","2315","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Wed Oct 25 02:34:41 UTC 2023","Wed Oct 25 02:34:48 UTC 2023","6836","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Oct 25 04:48:41 UTC 2023","Wed Oct 25 04:50:15 UTC 2023","93242","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Wed Oct 25 04:16:23 UTC 2023","Wed Oct 25 04:16:25 UTC 2023","1939","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Wed Oct 25 04:50:15 UTC 2023","Wed Oct 25 04:50:21 UTC 2023","5926","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Oct 25 02:50:17 UTC 2023","Wed Oct 25 02:50:37 UTC 2023","19785","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Oct 25 02:31:47 UTC 2023","Wed Oct 25 02:31:48 UTC 2023","438","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Wed Oct 25 02:51:58 UTC 2023","Wed Oct 25 02:51:58 UTC 2023","630","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Oct 25 05:27:00 UTC 2023","Wed Oct 25 05:27:03 UTC 2023","2453","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
